Iteration,Parameter 1 (ss),Parameter 2 (ha),Parameter 3 (pa),Output Parameter (d),Output hit probability
90,99.65771569,-0.00497122,44.96666381,0.85795013,0.80800000
165,99.92136951,0.03581279,44.98172676,0.85533387,0.91700000
471,100.01345951,0.00351310,44.96342105,0.85458354,0.94100000
414,99.98535335,-0.02408476,45.02116596,0.84471649,0.94200000
268,99.93807781,0.00813650,44.97356659,0.84406064,0.94000000
419,100.00158002,-0.00856515,44.98972394,0.84356854,0.96300000
400,100.06643799,0.04525952,45.03306521,0.84302758,0.91200000
260,99.90753315,0.03294471,45.03304777,0.84235173,0.90800000
412,99.96440590,-0.04633905,44.98466383,0.83991402,0.91400000
346,100.00185647,0.01748224,44.99184966,0.83726903,0.95200000
407,100.02079885,0.01715047,45.00924270,0.83600563,0.96400000
15,98.52918901,-0.00160522,44.98482971,0.83565521,0.23700000
371,100.05209683,0.00298263,44.99812520,0.83440605,0.94300000
131,99.83020121,-0.03264993,44.99483803,0.83427370,0.86500000
184,100.02239524,-0.01206839,45.01427056,0.83003104,0.95100000
304,99.94082379,-0.00032503,45.03183795,0.82787988,0.91900000
22,98.73800995,-0.03321567,44.98542836,0.82602993,0.34000000
282,99.92290332,0.00705311,44.99829245,0.82594349,0.92400000
189,99.96929569,0.00587286,44.98638345,0.81942110,0.94800000
263,99.89828088,-0.03963191,45.00413097,0.81927986,0.92500000
222,99.95355466,0.01844976,45.00739069,0.81855027,0.94500000
372,100.06807319,0.00149131,44.97406260,0.81829984,0.94300000
119,99.83556627,0.01588548,45.00655398,0.81676889,0.88800000
316,99.96076546,0.01043693,45.03129439,0.81614571,0.93400000
262,99.91444480,-0.02926382,45.00826194,0.81586589,0.91800000
406,100.03663431,0.03430093,45.01848539,0.81539028,0.93300000
159,99.92678464,0.04201878,44.98051277,0.81349389,0.91000000
248,99.87022782,-0.00846312,45.01368479,0.81343106,0.91600000
233,99.93724389,0.03040452,44.97327021,0.81149160,0.92500000
380,100.10150830,-0.00292386,44.98935181,0.81148691,0.93100000
314,99.96065071,-0.00825227,45.02517758,0.81127950,0.94200000
224,99.94653100,0.01711244,45.01434767,0.80974845,0.94400000
211,99.98387494,0.03510966,44.98612522,0.80141741,0.92600000
182,100.00195448,0.00172642,45.00708223,0.80119273,0.95100000
357,99.98877761,-0.03263307,45.03322356,0.80096268,0.92900000
245,99.90690231,0.03229502,45.00947834,0.79790607,0.91800000
133,99.86687000,0.01683752,45.01120951,0.79689322,0.91000000
44,99.13535393,-0.03649007,44.99889158,0.79288498,0.53300000
428,100.03776637,-0.03419642,45.01824165,0.78667822,0.92400000
430,100.03554791,-0.04604910,44.99206041,0.78415059,0.92400000
360,100.01423844,-0.04157913,45.01040294,0.78234625,0.92900000
137,99.84565202,-0.02707266,44.98507559,0.78218466,0.90100000
462,100.06273015,0.04870478,45.02157740,0.78106419,0.91100000
429,100.02243792,-0.04209821,45.03412082,0.77983864,0.90200000
134,99.85253292,0.03341876,44.98060475,0.77787816,0.89900000
353,99.97629193,0.02787096,44.98157695,0.77734746,0.92800000
249,99.85492335,-0.02923156,45.03184240,0.77497379,0.89000000
389,100.08887253,-0.00850180,44.96755733,0.77247379,0.91800000
291,99.90898049,-0.01268154,44.96650057,0.77169857,0.92200000
455,100.03334964,-0.01578873,45.01190657,0.77098397,0.94000000
405,100.05034307,0.01860186,44.98697079,0.77057637,0.94200000
141,99.86120312,0.02018296,44.98969222,0.76630713,0.89900000
277,99.92580867,-0.02430051,44.99535853,0.76032589,0.92700000
215,99.97800726,0.01156935,44.99600783,0.75954104,0.94700000
317,99.97356481,-0.01978153,44.99064720,0.75879615,0.94000000
91,99.67202325,-0.02748561,45.00833191,0.75617991,0.80300000
335,99.96557033,0.00362980,45.00811020,0.75420155,0.95200000
105,99.75941339,0.01769852,45.03046010,0.74990119,0.85400000
301,99.95669083,0.04739973,44.95470361,0.74974347,0.88000000
286,99.94085619,0.04419082,44.97801828,0.74366568,0.91300000
415,99.97194116,0.01295762,44.98558298,0.74098334,0.94500000
367,100.06189290,-0.00227796,45.02000315,0.73891099,0.94100000
207,99.95267132,0.01175463,45.02800345,0.73741383,0.94400000
100,99.76482436,0.01635257,45.02472330,0.73432117,0.85200000
447,99.99745382,0.00808414,44.99808191,0.73167096,0.95500000
342,100.00856483,-0.02028414,45.01959461,0.72993004,0.94300000
292,99.92034694,0.01865923,45.00825029,0.72913500,0.94100000
86,99.64710817,0.02046045,44.96662097,0.72870032,0.79800000
151,99.92326528,0.00680682,44.96126923,0.72727403,0.92800000
383,100.08099417,0.00588452,44.97366898,0.72700651,0.93100000
154,99.93005253,-0.00539915,45.02640865,0.72572483,0.93000000
448,99.98428383,0.02904207,44.97404095,0.72377116,0.93400000
194,99.95969269,-0.00606647,45.00426198,0.71833693,0.96000000
403,100.07994445,0.02440744,44.99788315,0.71662520,0.92100000
61,99.36426779,-0.01208181,45.00894126,0.71393983,0.65900000
326,99.92514979,0.00845746,45.00242314,0.70935709,0.92300000
486,100.03120349,0.00406047,44.99563640,0.70900476,0.96100000
325,99.91109833,0.01691492,45.00484628,0.70805967,0.93200000
79,99.59479746,-0.03106217,44.97748474,0.70611158,0.77500000
258,99.91102207,-0.01822116,44.98219110,0.70531706,0.91400000
475,99.99937738,-0.03415543,44.96333882,0.69966458,0.92500000
417,99.96910236,-0.03426060,45.00889574,0.69824463,0.93200000
180,99.99554647,-0.04309431,45.02832891,0.69777230,0.93200000
491,99.97862535,-0.03424811,44.95611364,0.69579631,0.90300000
351,99.99381171,0.01148382,44.97630780,0.69317096,0.94300000
331,99.94537148,0.00807680,44.97976322,0.69067185,0.93800000
83,99.60731574,0.01368361,44.98296780,0.68853685,0.78500000
485,100.01748859,0.00812094,44.99127279,0.68833018,0.95500000
143,99.89334819,-0.00745426,44.98492306,0.68756034,0.91900000
426,100.04332079,0.01321433,44.97296659,0.68605582,0.93400000
255,99.88796467,0.00423076,45.00752879,0.68405286,0.91900000
139,99.82624984,-0.01926816,45.00876890,0.68404920,0.87700000
452,100.01830888,0.02369013,44.99525256,0.68318453,0.95400000
239,99.91460262,-0.03311868,45.00661360,0.68064369,0.92600000
288,99.92240882,-0.00145230,45.03200457,0.67744919,0.93100000
393,100.06166361,-0.00678136,44.98234733,0.67540185,0.95400000
34,99.00534308,-0.01582842,45.01497447,0.67295903,0.47300000
330,99.93349475,0.01615359,45.00952645,0.66914146,0.93200000
235,99.93866881,0.02010113,44.95581755,0.66881058,0.90700000
228,99.93899295,0.02294453,44.99464673,0.66490957,0.92800000
299,99.97422625,0.03959890,44.96881446,0.65975295,0.91500000
298,99.98649993,0.02919780,44.98762891,0.65024978,0.94700000
461,100.05104320,0.04740955,44.99315479,0.64993379,0.91400000
440,100.04078316,-0.01523052,45.00448443,0.64976586,0.94900000
399,100.05400591,0.04051904,45.01613043,0.64600153,0.92800000
221,99.96468392,-0.01310048,45.01478137,0.64393736,0.94900000
203,99.98693777,0.03807409,44.99805520,0.63659673,0.93800000
468,100.02333990,-0.02189524,45.00736840,0.62962303,0.93800000
210,99.97404094,0.02021933,45.02225043,0.62804799,0.94200000
312,99.96915092,0.01699092,44.95071030,0.62792097,0.90800000
355,99.98810390,0.01946774,45.03289424,0.62775553,0.92400000
450,100.01317496,-0.00523948,45.03101024,0.62741340,0.94500000
456,100.04676507,0.01710563,45.03095328,0.62355497,0.92800000
209,99.96312753,0.04043866,45.04450086,0.62301397,0.90300000
97,99.74251149,-0.01917946,44.99778644,0.61938892,0.86500000
492,99.99173685,-0.04212406,44.97805682,0.61854820,0.92400000
88,99.65667248,-0.01988489,45.01665524,0.61792904,0.81100000
410,99.98534618,-0.03535619,44.98865534,0.61337215,0.93300000
205,99.96046146,-0.00298148,45.01201380,0.61231747,0.96400000
80,99.60380535,0.00946891,45.01374237,0.61163226,0.78400000
117,99.81617912,0.01354192,45.02621593,0.61106059,0.87100000
257,99.90281603,0.01355769,45.01438220,0.61070770,0.92800000
39,99.07773150,-0.01768214,45.01453045,0.60731849,0.51400000
196,99.94711511,-0.02651662,45.00106550,0.60489092,0.92900000
444,100.00956999,0.01467309,44.98465528,0.60350048,0.94800000
160,99.94147433,0.04600939,45.01525639,0.59942882,0.91800000
212,99.99586125,-0.00744517,45.01806261,0.59767194,0.94800000
362,100.04196308,-0.02289478,44.99010074,0.59690363,0.94400000
217,99.96528324,-0.00960766,44.98650196,0.59056050,0.95700000
223,99.93983536,-0.01577512,44.97869534,0.58936157,0.92400000
89,99.64645724,-0.00994244,44.98332762,0.58917037,0.83300000
227,99.94931784,-0.00411094,44.98929346,0.58529838,0.93600000
392,100.07127288,-0.01356273,45.01469467,0.58316308,0.92300000
494,99.98045377,-0.03553101,45.01951420,0.58311720,0.92400000
356,99.97817652,-0.01526613,45.01644712,0.58246321,0.94600000
441,100.02911815,-0.03261526,45.02724222,0.58182367,0.92800000
148,99.91382788,0.00445455,44.99015385,0.58106337,0.93300000
349,100.01653754,-0.00406472,44.95523121,0.57729758,0.92600000
283,99.93868476,0.00352655,44.97414623,0.57506125,0.93300000
200,99.97120903,0.00459271,45.03444159,0.57499653,0.94100000
65,99.41802772,-0.02263011,44.95993383,0.57491284,0.69900000
365,100.05156888,-0.00911185,45.03001259,0.57242227,0.94300000
226,99.95760127,-0.00822189,45.02858692,0.57238582,0.94000000
472,100.02985200,0.02675655,44.95671052,0.56729011,0.92000000
57,99.31069879,-0.04330890,44.99306017,0.56635289,0.62900000
101,99.77889492,0.03317628,45.03736165,0.56528967,0.85300000
179,100.00588538,-0.03618861,45.00665782,0.56477016,0.93800000
251,99.86156460,-0.03230789,44.97046060,0.56389422,0.90000000
323,99.89962246,0.01765966,44.96938511,0.56344050,0.92800000
238,99.92521203,-0.01623736,45.01322719,0.56059849,0.94000000
127,99.81850690,-0.02239888,44.96740841,0.55833016,0.87100000
281,99.91586551,-0.03589378,44.99658491,0.55548333,0.92200000
270,99.93539499,0.03953413,45.00589165,0.55467554,0.92200000
436,100.03149666,0.00631173,45.02175094,0.55456040,0.95100000
295,99.94126106,-0.01641760,45.00103129,0.55367403,0.94000000
38,99.07222989,0.01463572,44.97906090,0.55310272,0.51100000
36,99.04473996,0.00854289,44.96624362,0.55288774,0.49800000
155,99.94366182,-0.02769957,45.03820433,0.55170828,0.92500000
438,100.02298553,-0.01092207,45.01793774,0.54949363,0.94900000
231,99.94028738,0.02161807,44.99308084,0.54741940,0.94500000
120,99.84986872,-0.01705726,45.02827699,0.54645376,0.90300000
489,99.99210475,-0.03699244,44.97445455,0.54370986,0.92900000
336,99.98062816,0.00181490,45.00405510,0.54245926,0.95600000
338,100.00555300,-0.02454628,45.01351378,0.54240520,0.94200000
256,99.89913006,-0.02288462,44.97876439,0.54187904,0.91600000
219,99.95538680,-0.00240192,45.00912549,0.54030230,0.94600000
93,99.67614383,-0.00687140,45.01458298,0.53738344,0.79700000
308,99.96471937,0.02185469,44.96136487,0.53422921,0.93800000
92,99.68629933,-0.01374281,45.02916595,0.53275097,0.80600000
413,99.97808136,0.00183048,44.99233192,0.53151185,0.95600000
378,100.10676259,-0.01169545,45.00740723,0.53047489,0.91900000
129,99.83159180,-0.03059972,45.02935210,0.53013982,0.87300000
213,99.98606302,-0.00372258,44.98403130,0.52853516,0.94800000
136,99.83925882,-0.00414531,45.02015119,0.52704697,0.89800000
225,99.96232348,0.03355622,45.00717384,0.52549153,0.93400000
386,100.09657360,0.03198556,44.99045862,0.52448540,0.91700000
465,100.05412028,-0.02516190,44.95894717,0.52255237,0.92800000
276,99.92737628,-0.04860103,45.04071706,0.52051381,0.91400000
190,99.95332704,0.00293643,44.96819173,0.52002136,0.94100000
192,99.96290563,0.02573411,44.96704793,0.51486409,0.93500000
66,99.41124763,-0.01131506,45.00496691,0.51457791,0.66500000
467,100.02451747,0.00620952,44.96473679,0.51400372,0.93300000
302,99.96715321,-0.00130014,44.97735181,0.51373642,0.94400000
454,100.03347521,0.01842253,44.97381314,0.51204632,0.94800000
332,99.95575174,-0.02096160,45.01488161,0.51193195,0.94100000
458,100.05786832,0.02927641,44.99523832,0.51166298,0.94000000
116,99.81080642,-0.02291616,45.00243187,0.51151931,0.87300000
230,99.94353489,0.04323613,45.03616168,0.50862158,0.91100000
287,99.93187384,-0.00290459,45.01400914,0.50651848,0.93600000
327,99.91244618,0.02922873,45.02621157,0.50608233,0.92800000
102,99.76778666,0.04158814,45.04368083,0.50466799,0.82500000
265,99.90347756,0.01509202,44.98853274,0.50257904,0.93100000
87,99.66114647,0.01023023,44.98331049,0.50191705,0.79200000
382,100.08116279,-0.03823097,44.99733795,0.50071021,0.91500000
237,99.92462351,0.01752528,44.97645439,0.50008140,0.92800000
48,99.20909802,-0.02415563,44.99680572,0.49916804,0.57600000
431,100.01988999,-0.04802455,44.99603021,0.49829680,0.91000000
370,100.04892935,-0.04403475,44.99625039,0.49648473,0.93000000
421,100.02063268,0.02285871,45.03493098,0.49601559,0.93200000
443,100.01013990,-0.02065381,45.01931055,0.49569128,0.95200000
411,99.97379614,-0.04267810,44.96932767,0.49527918,0.91700000
422,100.01163348,0.01142936,45.01746549,0.49520465,0.94400000
193,99.95614019,-0.01213295,44.95852397,0.49439591,0.92000000
433,100.02280712,0.00049386,44.97400755,0.49365767,0.94100000
53,99.27893257,0.00705764,44.98896268,0.49142362,0.61200000
318,99.96146579,0.01510923,45.02032360,0.49085526,0.92500000
138,99.83368659,0.01146367,45.01753780,0.49030330,0.90600000
481,100.01551797,-0.02006493,44.96036467,0.49030249,0.92700000
232,99.92957686,0.01080903,44.99654042,0.48939442,0.94800000
364,100.05516101,0.03177630,45.01002518,0.48927719,0.93300000
497,100.00284956,0.01430862,45.00868928,0.48817999,0.95300000
31,98.95517468,-0.02662737,44.96979576,0.48446518,0.43600000
352,99.98212539,0.00574191,45.01315390,0.48347994,0.95300000
163,99.91996745,0.04325117,44.97690705,0.48212623,0.89800000
416,99.96017296,-0.01852119,45.01779149,0.48168635,0.93900000
114,99.79242899,-0.04166465,44.95972746,0.48127163,0.86700000
333,99.96312068,-0.03548080,44.98244081,0.48064769,0.94200000
391,100.07997038,-0.02712545,45.02938933,0.47864825,0.91200000
24,98.77009130,-0.00830392,44.98385709,0.47798172,0.37600000
442,100.01783958,-0.04130763,45.03862111,0.47766155,0.90400000
341,100.01468227,-0.04056828,44.98918922,0.47660367,0.92000000
328,99.90646099,0.01461436,44.98810578,0.47604910,0.91900000
358,100.00207068,-0.01631653,44.99161178,0.47601905,0.94000000
484,100.02162369,-0.03375812,44.98254558,0.47513114,0.93100000
427,100.03144643,-0.01839283,44.98648330,0.47506721,0.94600000
76,99.56695821,0.00150262,44.96987790,0.47367609,0.76200000
72,99.51604477,-0.02595805,45.01804636,0.46936627,0.75100000
473,100.02397502,0.01337827,45.00335526,0.46715980,0.95100000
385,100.09940619,0.01397113,45.03091724,0.46497404,0.92500000
156,99.93763852,-0.01384979,44.99410216,0.46416822,0.94100000
107,99.78902110,0.01692463,44.99511503,0.46388225,0.87300000
173,99.95021725,-0.01607104,44.97610050,0.46369289,0.93400000
499,99.99424211,0.00357716,44.98967232,0.46303543,0.95300000
68,99.43886713,0.03467124,44.98874173,0.46082702,0.68500000
123,99.83029385,-0.00838216,45.02853462,0.46037763,0.89900000
279,99.93179741,-0.04357513,44.98633963,0.46028238,0.90800000
401,100.08024620,-0.00237024,45.04153261,0.45982164,0.93400000
477,100.00770277,0.02896114,45.01583470,0.45698743,0.95400000
376,100.10934841,0.00321821,44.97962891,0.44666887,0.91600000
479,100.02052930,0.01974029,44.99145868,0.44442754,0.96000000
144,99.88094607,0.02127287,44.99246153,0.43754348,0.92400000
52,99.28261329,0.01411527,45.02792536,0.43664562,0.64500000
118,99.82754544,0.03177096,45.01310797,0.43630798,0.89300000
453,100.02980535,-0.01315494,44.99762628,0.43599309,0.94700000
344,100.01384253,0.01992896,45.01739865,0.43509740,0.94600000
311,99.97714851,0.03398184,44.95142061,0.43453773,0.88200000
157,99.93254314,0.01807511,44.97205108,0.43453233,0.93200000
425,100.04376810,-0.02357133,44.99593319,0.43424090,0.95000000
167,99.90546675,0.02145320,45.02043169,0.43365117,0.91600000
261,99.92181961,-0.00852764,45.01652389,0.43103853,0.94100000
130,99.83792333,-0.01529986,44.98967605,0.42643319,0.90100000
289,99.90924406,-0.00072615,45.01600228,0.42471743,0.92700000
51,99.28154748,-0.02176945,45.00585072,0.42466483,0.60100000
236,99.92729152,-0.01494944,44.95290878,0.42272448,0.90400000
280,99.92380429,-0.02178756,44.99316982,0.42264096,0.94200000
334,99.96608971,0.00725960,44.96622040,0.42126887,0.93200000
290,99.91093507,0.02463693,44.98300114,0.41957663,0.90200000
259,99.90070377,0.01588942,45.01609555,0.41764471,0.92900000
322,99.90318535,-0.01468067,44.98877022,0.41701741,0.92900000
172,99.94456302,-0.03214209,45.00220099,0.41698563,0.92600000
476,100.00993913,0.00792228,44.98166941,0.41652529,0.95000000
145,99.88372990,-0.01436357,44.97123076,0.41629154,0.90900000
384,100.09255658,0.02794226,45.01183449,0.41620578,0.92400000
439,100.03309933,-0.03046103,45.00896887,0.41570540,0.94000000
185,100.00622867,-0.00603420,45.03213528,0.41558404,0.93800000
496,100.00669141,-0.02138275,45.01737855,0.41453257,0.94300000
111,99.79449014,-0.03331721,44.97781969,0.41367209,0.86100000
375,100.10363491,0.00643641,45.00925782,0.41283544,0.92900000
395,100.09079933,-0.00169534,45.00808683,0.41266728,0.93900000
82,99.61142385,0.02736723,45.01593559,0.41182902,0.76400000
128,99.82568062,-0.01119944,45.00870421,0.40942124,0.89900000
84,99.61907195,-0.01815819,44.96648390,0.40937250,0.77100000
174,99.95558477,-0.00803552,45.01305025,0.40825421,0.95000000
78,99.59013318,-0.01212434,45.00496947,0.40717804,0.77400000
488,99.99805187,-0.02398488,44.99890910,0.40637736,0.94000000
478,100.01368329,0.03948057,44.98291735,0.40426866,0.93900000
459,100.04947568,0.03963820,45.02261916,0.39970642,0.91700000
175,99.96117801,0.02098224,45.00652512,0.39806696,0.94800000
285,99.94738403,0.03838164,44.95603656,0.39777626,0.90500000
275,99.93509056,-0.04720206,45.03143411,0.39697371,0.90500000
54,99.28867333,0.00352882,44.99448134,0.39520859,0.60600000
229,99.95077777,0.03647226,45.02232336,0.39353913,0.92000000
220,99.96307813,-0.02620096,44.97956274,0.38424455,0.93600000
164,99.92453318,0.02162559,45.01345352,0.38184872,0.93500000
216,99.96521267,-0.01921532,45.02300391,0.37746847,0.93400000
242,99.88934771,0.00836017,45.02582670,0.37648828,0.91500000
64,99.42277133,0.00473977,44.96986766,0.37554461,0.67400000
104,99.76472122,0.03539704,45.01092021,0.37408193,0.84700000
390,100.07583429,-0.00425090,45.00877866,0.37090765,0.93800000
166,99.90441998,0.04290640,44.99086338,0.36904174,0.90600000
